[warn] --hard_sparse_forward enables sparse-z-as-x mode. This is NOT pure ELSA and is known to be worse at 80%+ sparsity. Consider dropping the flag.
====================================================================================================
Windowed ELSA / ELSA-L ADMM Sparsification
====================================================================================================
Model id             : mistralai/Mistral-7B-Instruct-v0.3
    cached rows 1264-1264/8192  cuda=alloc=13.89GB reserved=14.19GB max=14.13GB
    cached rows 1280-1280/8192  cuda=alloc=13.89GB reserved=14.19GB max=14.13GB
    cached rows 1296-1296/8192  cuda=alloc=13.89GB reserved=14.19GB max=14.13GB
    cached rows 1312-1312/8192  cuda=alloc=13.89GB reserved=14.19GB max=14.13GB
    cached rows 1328-1328/8192  cuda=alloc=13.89GB reserved=14.19GB max=14.13GB
    cached rows 1344-1344/8192  cuda=alloc=13.89GB reserved=14.19GB max=14.13GB
    cached rows 1360-1360/8192  cuda=alloc=13.89GB reserved=14.19GB max=14.13GB
    cached rows 1376-1376/8192  cuda=alloc=13.89GB reserved=14.19GB max=14.13GB
    cached rows 1392-1392/8192  cuda=alloc=13.89GB reserved=14.19GB max=14.13GB
    cached rows 1408-1408/8192  cuda=alloc=13.89GB reserved=14.19GB max=14.13GB
    cached rows 1424-1424/8192  cuda=alloc=13.89GB reserved=14.19GB max=14.13GB
    cached rows 1440-1440/8192  cuda=alloc=13.89GB reserved=14.19GB max=14.13GB
    cached rows 1456-1456/8192  cuda=alloc=13.89GB reserved=14.19GB max=14.13GB
    cached rows 1472-1472/8192  cuda=alloc=13.89GB reserved=14.19GB max=14.13GB
    cached rows 1488-1488/8192  cuda=alloc=13.89GB reserved=14.19GB max=14.13GB
    cached rows 1504-1504/8192  cuda=alloc=13.89GB reserved=14.19GB max=14.13GB
    cached rows 1520-1520/8192  cuda=alloc=13.89GB reserved=14.19GB max=14.13GB
    cached rows 1536-1536/8192  cuda=alloc=13.89GB reserved=14.19GB max=14.13GB
    cached rows 1552-1552/8192  cuda=alloc=13.89GB reserved=14.19GB max=14.13GB
    cached rows 1568-1568/8192  cuda=alloc=13.89GB reserved=14.19GB max=14.13GB
    cached rows 1584-1584/8192  cuda=alloc=13.89GB reserved=14.19GB max=14.13GB
    cached rows 1600-1600/8192  cuda=alloc=13.89GB reserved=14.19GB max=14.13GB
    cached rows 1616-1616/8192  cuda=alloc=13.89GB reserved=14.19GB max=14.13GB
    cached rows 1632-1632/8192  cuda=alloc=13.89GB reserved=14.19GB max=14.13GB
    cached rows 1648-1648/8192  cuda=alloc=13.89GB reserved=14.19GB max=14.13GB
    cached rows 1664-1664/8192  cuda=alloc=13.89GB reserved=14.19GB max=14.13GB
    cached rows 1680-1680/8192  cuda=alloc=13.89GB reserved=14.19GB max=14.13GB
    cached rows 1696-1696/8192  cuda=alloc=13.89GB reserved=14.19GB max=14.13GB
    cached rows 1712-1712/8192  cuda=alloc=13.89GB reserved=14.19GB max=14.13GB
    cached rows 1728-1728/8192  cuda=alloc=13.89GB reserved=14.19GB max=14.13GB
    cached rows 1744-1744/8192  cuda=alloc=13.89GB reserved=14.19GB max=14.13GB
    cached rows 1760-1760/8192  cuda=alloc=13.89GB reserved=14.19GB max=14.13GB
    cached rows 1776-1776/8192  cuda=alloc=13.89GB reserved=14.19GB max=14.13GB
    cached rows 1792-1792/8192  cuda=alloc=13.89GB reserved=14.19GB max=14.13GB
    cached rows 1808-1808/8192  cuda=alloc=13.89GB reserved=14.19GB max=14.13GB
    cached rows 1824-1824/8192  cuda=alloc=13.89GB reserved=14.19GB max=14.13GB
    cached rows 1840-1840/8192  cuda=alloc=13.89GB reserved=14.19GB max=14.13GB
    cached rows 1856-1856/8192  cuda=alloc=13.89GB reserved=14.19GB max=14.13GB
    cached rows 1872-1872/8192  cuda=alloc=13.89GB reserved=14.19GB max=14.13GB
    cached rows 1888-1888/8192  cuda=alloc=13.89GB reserved=14.19GB max=14.13GB
    cached rows 1904-1904/8192  cuda=alloc=13.89GB reserved=14.19GB max=14.13GB
    cached rows 1920-1920/8192  cuda=alloc=13.89GB reserved=14.19GB max=14.13GB
    cached rows 1936-1936/8192  cuda=alloc=13.89GB reserved=14.19GB max=14.13GB
    cached rows 1952-1952/8192  cuda=alloc=13.89GB reserved=14.19GB max=14.13GB
    cached rows 1968-1968/8192  cuda=alloc=13.89GB reserved=14.19GB max=14.13GB
    cached rows 1984-1984/8192  cuda=alloc=13.89GB reserved=14.19GB max=14.13GB
    cached rows 2000-2000/8192  cuda=alloc=13.89GB reserved=14.19GB max=14.13GB
    cached rows 2016-2016/8192  cuda=alloc=13.89GB reserved=14.19GB max=14.13GB
    cached rows 2032-2032/8192  cuda=alloc=13.89GB reserved=14.19GB max=14.13GB
    cached rows 2048-2048/8192  cuda=alloc=13.89GB reserved=14.19GB max=14.13GB
    cached rows 2064-2064/8192  cuda=alloc=13.89GB reserved=14.19GB max=14.13GB
    cached rows 2080-2080/8192  cuda=alloc=13.89GB reserved=14.19GB max=14.13GB
    cached rows 2096-2096/8192  cuda=alloc=13.89GB reserved=14.19GB max=14.13GB
    cached rows 2112-2112/8192  cuda=alloc=13.89GB reserved=14.19GB max=14.13GB
    cached rows 2128-2128/8192  cuda=alloc=13.89GB reserved=14.19GB max=14.13GB
    cached rows 2144-2144/8192  cuda=alloc=13.89GB reserved=14.19GB max=14.13GB
    cached rows 2160-2160/8192  cuda=alloc=13.89GB reserved=14.19GB max=14.13GB
    cached rows 2176-2176/8192  cuda=alloc=13.89GB reserved=14.19GB max=14.13GB
    cached rows 2192-2192/8192  cuda=alloc=13.89GB reserved=14.19GB max=14.13GB
    cached rows 2208-2208/8192  cuda=alloc=13.89GB reserved=14.19GB max=14.13GB
    cached rows 2224-2224/8192  cuda=alloc=13.89GB reserved=14.19GB max=14.13GB
    cached rows 2240-2240/8192  cuda=alloc=13.89GB reserved=14.19GB max=14.13GB
    cached rows 2256-2256/8192  cuda=alloc=13.89GB reserved=14.19GB max=14.13GB
    cached rows 2272-2272/8192  cuda=alloc=13.89GB reserved=14.19GB max=14.13GB
    cached rows 2288-2288/8192  cuda=alloc=13.89GB reserved=14.19GB max=14.13GB
    cached rows 2304-2304/8192  cuda=alloc=13.89GB reserved=14.19GB max=14.13GB
    cached rows 2320-2320/8192  cuda=alloc=13.89GB reserved=14.19GB max=14.13GB
    cached rows 2336-2336/8192  cuda=alloc=13.89GB reserved=14.19GB max=14.13GB
    cached rows 2352-2352/8192  cuda=alloc=13.89GB reserved=14.19GB max=14.13GB
    cached rows 2368-2368/8192  cuda=alloc=13.89GB reserved=14.19GB max=14.13GB
    cached rows 2384-2384/8192  cuda=alloc=13.89GB reserved=14.19GB max=14.13GB
    cached rows 2400-2400/8192  cuda=alloc=13.89GB reserved=14.19GB max=14.13GB
    cached rows 2416-2416/8192  cuda=alloc=13.89GB reserved=14.19GB max=14.13GB
    cached rows 2432-2432/8192  cuda=alloc=13.89GB reserved=14.19GB max=14.13GB
    cached rows 2448-2448/8192  cuda=alloc=13.89GB reserved=14.19GB max=14.13GB
    cached rows 2464-2464/8192  cuda=alloc=13.89GB reserved=14.19GB max=14.13GB
    cached rows 2480-2480/8192  cuda=alloc=13.89GB reserved=14.19GB max=14.13GB
    cached rows 2496-2496/8192  cuda=alloc=13.89GB reserved=14.19GB max=14.13GB
    cached rows 2512-2512/8192  cuda=alloc=13.89GB reserved=14.19GB max=14.13GB
    cached rows 2528-2528/8192  cuda=alloc=13.89GB reserved=14.19GB max=14.13GB
    cached rows 2544-2544/8192  cuda=alloc=13.89GB reserved=14.19GB max=14.13GB
    cached rows 2560-2560/8192  cuda=alloc=13.89GB reserved=14.19GB max=14.13GB
    cached rows 2576-2576/8192  cuda=alloc=13.89GB reserved=14.19GB max=14.13GB
    cached rows 2592-2592/8192  cuda=alloc=13.89GB reserved=14.19GB max=14.13GB
    cached rows 2608-2608/8192  cuda=alloc=13.89GB reserved=14.19GB max=14.13GB
    cached rows 2624-2624/8192  cuda=alloc=13.89GB reserved=14.19GB max=14.13GB
    cached rows 2640-2640/8192  cuda=alloc=13.89GB reserved=14.19GB max=14.13GB
    cached rows 2656-2656/8192  cuda=alloc=13.89GB reserved=14.19GB max=14.13GB
    cached rows 2672-2672/8192  cuda=alloc=13.89GB reserved=14.19GB max=14.13GB
    cached rows 2688-2688/8192  cuda=alloc=13.89GB reserved=14.19GB max=14.13GB
    cached rows 2704-2704/8192  cuda=alloc=13.89GB reserved=14.19GB max=14.13GB
    cached rows 2720-2720/8192  cuda=alloc=13.89GB reserved=14.19GB max=14.13GB
    cached rows 2736-2736/8192  cuda=alloc=13.89GB reserved=14.19GB max=14.13GB
    cached rows 2752-2752/8192  cuda=alloc=13.89GB reserved=14.19GB max=14.13GB
    cached rows 2768-2768/8192  cuda=alloc=13.89GB reserved=14.19GB max=14.13GB
    cached rows 2784-2784/8192  cuda=alloc=13.89GB reserved=14.19GB max=14.13GB
    cached rows 2800-2800/8192  cuda=alloc=13.89GB reserved=14.19GB max=14.13GB
    cached rows 2816-2816/8192  cuda=alloc=13.89GB reserved=14.19GB max=14.13GB
    cached rows 2832-2832/8192  cuda=alloc=13.89GB reserved=14.19GB max=14.13GB
    cached rows 2848-2848/8192  cuda=alloc=13.89GB reserved=14.19GB max=14.13GB
    cached rows 2864-2864/8192  cuda=alloc=13.89GB reserved=14.19GB max=14.13GB
    cached rows 2880-2880/8192  cuda=alloc=13.89GB reserved=14.19GB max=14.13GB
    cached rows 2896-2896/8192  cuda=alloc=13.89GB reserved=14.19GB max=14.13GB
    cached rows 2912-2912/8192  cuda=alloc=13.89GB reserved=14.19GB max=14.13GB
    cached rows 2928-2928/8192  cuda=alloc=13.89GB reserved=14.19GB max=14.13GB
    cached rows 2944-2944/8192  cuda=alloc=13.89GB reserved=14.19GB max=14.13GB
    cached rows 2960-2960/8192  cuda=alloc=13.89GB reserved=14.19GB max=14.13GB
    cached rows 2976-2976/8192  cuda=alloc=13.89GB reserved=14.19GB max=14.13GB
    cached rows 2992-2992/8192  cuda=alloc=13.89GB reserved=14.19GB max=14.13GB
    cached rows 3008-3008/8192  cuda=alloc=13.89GB reserved=14.19GB max=14.13GB
    cached rows 3024-3024/8192  cuda=alloc=13.89GB reserved=14.19GB max=14.13GB
    cached rows 3040-3040/8192  cuda=alloc=13.89GB reserved=14.19GB max=14.13GB
    cached rows 3056-3056/8192  cuda=alloc=13.89GB reserved=14.19GB max=14.13GB
    cached rows 3072-3072/8192  cuda=alloc=13.89GB reserved=14.19GB max=14.13GB
    cached rows 3088-3088/8192  cuda=alloc=13.89GB reserved=14.19GB max=14.13GB
    cached rows 3104-3104/8192  cuda=alloc=13.89GB reserved=14.19GB max=14.13GB
    cached rows 3120-3120/8192  cuda=alloc=13.89GB reserved=14.19GB max=14.13GB
    cached rows 3136-3136/8192  cuda=alloc=13.89GB reserved=14.19GB max=14.13GB
    cached rows 3152-3152/8192  cuda=alloc=13.89GB reserved=14.19GB max=14.13GB
    cached rows 3168-3168/8192  cuda=alloc=13.89GB reserved=14.19GB max=14.13GB
    cached rows 3184-3184/8192  cuda=alloc=13.89GB reserved=14.19GB max=14.13GB
    cached rows 3200-3200/8192  cuda=alloc=13.89GB reserved=14.19GB max=14.13GB
    cached rows 3216-3216/8192  cuda=alloc=13.89GB reserved=14.19GB max=14.13GB
    cached rows 3232-3232/8192  cuda=alloc=13.89GB reserved=14.19GB max=14.13GB
    cached rows 3248-3248/8192  cuda=alloc=13.89GB reserved=14.19GB max=14.13GB
    cached rows 3264-3264/8192  cuda=alloc=13.89GB reserved=14.19GB max=14.13GB
    cached rows 3280-3280/8192  cuda=alloc=13.89GB reserved=14.19GB max=14.13GB
    cached rows 3296-3296/8192  cuda=alloc=13.89GB reserved=14.19GB max=14.13GB
    cached rows 3312-3312/8192  cuda=alloc=13.89GB reserved=14.19GB max=14.13GB
    cached rows 3328-3328/8192  cuda=alloc=13.89GB reserved=14.19GB max=14.13GB
    cached rows 3344-3344/8192  cuda=alloc=13.89GB reserved=14.19GB max=14.13GB
    cached rows 3360-3360/8192  cuda=alloc=13.89GB reserved=14.19GB max=14.13GB
    cached rows 3376-3376/8192  cuda=alloc=13.89GB reserved=14.19GB max=14.13GB
    cached rows 3392-3392/8192  cuda=alloc=13.89GB reserved=14.19GB max=14.13GB
    cached rows 3408-3408/8192  cuda=alloc=13.89GB reserved=14.19GB max=14.13GB
    cached rows 3424-3424/8192  cuda=alloc=13.89GB reserved=14.19GB max=14.13GB
    cached rows 3440-3440/8192  cuda=alloc=13.89GB reserved=14.19GB max=14.13GB
    cached rows 3456-3456/8192  cuda=alloc=13.89GB reserved=14.19GB max=14.13GB
    cached rows 3472-3472/8192  cuda=alloc=13.89GB reserved=14.19GB max=14.13GB
    cached rows 3488-3488/8192  cuda=alloc=13.89GB reserved=14.19GB max=14.13GB
    cached rows 3504-3504/8192  cuda=alloc=13.89GB reserved=14.19GB max=14.13GB
    cached rows 3520-3520/8192  cuda=alloc=13.89GB reserved=14.19GB max=14.13GB
    cached rows 3536-3536/8192  cuda=alloc=13.89GB reserved=14.19GB max=14.13GB
    cached rows 3552-3552/8192  cuda=alloc=13.89GB reserved=14.19GB max=14.13GB
    cached rows 3568-3568/8192  cuda=alloc=13.89GB reserved=14.19GB max=14.13GB
    cached rows 3584-3584/8192  cuda=alloc=13.89GB reserved=14.19GB max=14.13GB
    cached rows 3600-3600/8192  cuda=alloc=13.89GB reserved=14.19GB max=14.13GB
    cached rows 3616-3616/8192  cuda=alloc=13.89GB reserved=14.19GB max=14.13GB
    cached rows 3632-3632/8192  cuda=alloc=13.89GB reserved=14.19GB max=14.13GB
    cached rows 3648-3648/8192  cuda=alloc=13.89GB reserved=14.19GB max=14.13GB
    cached rows 3664-3664/8192  cuda=alloc=13.89GB reserved=14.19GB max=14.13GB
    cached rows 3680-3680/8192  cuda=alloc=13.89GB reserved=14.19GB max=14.13GB
    cached rows 3696-3696/8192  cuda=alloc=13.89GB reserved=14.19GB max=14.13GB
    cached rows 3712-3712/8192  cuda=alloc=13.89GB reserved=14.19GB max=14.13GB
    cached rows 3728-3728/8192  cuda=alloc=13.89GB reserved=14.19GB max=14.13GB
    cached rows 3744-3744/8192  cuda=alloc=13.89GB reserved=14.19GB max=14.13GB
    cached rows 3760-3760/8192  cuda=alloc=13.89GB reserved=14.19GB max=14.13GB
    cached rows 3776-3776/8192  cuda=alloc=13.89GB reserved=14.19GB max=14.13GB
    cached rows 3792-3792/8192  cuda=alloc=13.89GB reserved=14.19GB max=14.13GB
    cached rows 3808-3808/8192  cuda=alloc=13.89GB reserved=14.19GB max=14.13GB
    cached rows 3824-3824/8192  cuda=alloc=13.89GB reserved=14.19GB max=14.13GB
    cached rows 3840-3840/8192  cuda=alloc=13.89GB reserved=14.19GB max=14.13GB
    cached rows 3856-3856/8192  cuda=alloc=13.89GB reserved=14.19GB max=14.13GB
    cached rows 3872-3872/8192  cuda=alloc=13.89GB reserved=14.19GB max=14.13GB
    cached rows 3888-3888/8192  cuda=alloc=13.89GB reserved=14.19GB max=14.13GB
    cached rows 3904-3904/8192  cuda=alloc=13.89GB reserved=14.19GB max=14.13GB
    cached rows 3920-3920/8192  cuda=alloc=13.89GB reserved=14.19GB max=14.13GB
    cached rows 3936-3936/8192  cuda=alloc=13.89GB reserved=14.19GB max=14.13GB
    cached rows 3952-3952/8192  cuda=alloc=13.89GB reserved=14.19GB max=14.13GB
    cached rows 3968-3968/8192  cuda=alloc=13.89GB reserved=14.19GB max=14.13GB
    cached rows 3984-3984/8192  cuda=alloc=13.89GB reserved=14.19GB max=14.13GB
